name,id,resolution,margins
"Ahlu Al-Thikir",UCfOGIM6gl-5UIkDbK6k_j_w,1080,"210,1070,19,1901"
"Albaseerah",UC4B19QVUWS30auzWxjA0OvA,1080,"10,1070,19,1901"
"Alhuda Bolton",UCasRvdqbaLQT4V-q70cAv5Q,1080,"210,1070,19,1901"
"As Sabeel",UC6es_vz9Fd1V6xziM3hLCeA,1080,"10,1070,19,1901"
"At-Tarbiyah South Florida",UCiFdLiofgxHd3xR6G1d4ikg,1080,"10,1070,19,1901"
"Beneficial Videos",UCh9q6bLjFaymeLmx_dpuOgw,1080,"10,1070,19,1901"
"Best Lectures",UC4NNjbQQYmshh8Rx3zcpMDQ,1080,"10,1070,19,1901"
"Cardiff Dawah",UCN2HZGNAGS-1I81pBBHxBtQ,1080,"10,1070,19,1901"
"DaarusSunnah",UCQ9_3Qh6BcqyEloi3LRz5Ig,1080,"150,1310,19,1901"
"DaarutTawheed",UCUwhFc-JNbZzB-Kzetjb38Q,1080,"175,925,19,1901"
"DUS Dawah",UC2nBe2Lb4kIreaTemj40Rvw,1080,"10,1070,19,1901"
"Exposing Hizbies",UCtdBrKYPZobayiCJmQ1BPBQ,1080,"10,1070,19,1901"
"imam darimi",UCIkEnWauzeLH4EdUxpoggFA,1080,"10,1070,19,1901"
"INFOS & BEWEISE",UCa2F4iy7Yf9Jt7xNutCS6eA,1080,"10,1070,19,1901"
"LearnAboutIslamUK",UCRn_FHEWKJRYOcPaXTqzFjQ,1080,"10,1070,19,1901"
"Lies Exposer",UCwyzPRY1SBfi8fmQuh90o-g,1080,"130,1050,19,1901"
"M.T",UCoq7qx3OxgM4xHuRC_SsBMA,1080,"10,1070,19,1901"
"ManhadschDeutsch",UCy-VpM4cN8RUaw0YmF5_LGA,1080,"310,1080,0,1920"
"Manhaj Al-Haqq (منهج الحق)",UCEecJ-pflmF8GIHcftE2T4Q,1080,"220,1070,19,1901"
"Markaz Bukhari",UCBz2ARUai7d0cr2Zo3i3n2A,1080,"160,990,19,1901"
"MarkazMuaadh ibn Jabal",UCzt7JH-NWh7GKtVNG66kUkA,1080,"260,965,19,1901"
"Masjid Al-Huda Sheffield",UCV1rtd29OafALtwTOcOC74w,1080,"240,1070,19,1901"
"Masjid Al-Wahyain MN",UCZvQwWZyxTVAi-9p_lbPOzg,1080,"150,910,19,1901"
"Masjid AsSunnah",UC1CCdWAeMHezx5BKXlJ5tbg,1080,"10,1070,19,1901"
"Masjid Ibn Seereen",UCN8LjcssStJwmyBXf6G6RHg,1080,"145,1060,19,1901"
"masjidfurqan",UCoMyi8rH9lApFTveFQRm6Vw,1080,"10,1070,19,1901"
"Miraath Shqip",UCeXzTzwk7PhIy1qoFBcA-Dw,1080,"10,1070,19,1901"
"MiraathDE",UCG61KpRqJwJskrSgzw8FAGA,1080,"10,1070,19,1901"
"MiraathFR",UCWgJqXTkjciKAxX91xJd8Tw,1080,"10,1070,19,1901"
"MiraathPubs",UCFThgCj-hjj6KCtm7487PwQ,1080,"190,970,19,1901"
"Muwahhideen Publications",UCwbHVTOT087c20EcVdkSWEg,1080,"245,880,19,1901"
"Oxford Salafi Dawah",UCOc1JQbcyj_GEXaemu4ZDvQ,1080,"243,910,19,1901"
"Pristine Methodology Nigeria",UC1wva61cbDU1YZozpRUReLg,1080,"10,900,19,1901"
"Salafi Audio UNLIMITED",UCqDlKfKF7R1MfKAMNQn6bTw",1080,"10,1070,19,1901"
"Salafi Centre of Manchester",UCBmFsEeXrDr_g92kKCSMaGg,1080,"140,940,19,1901"
"Salafi Daʿwah Davao",UCMaH7oShBmntUJahxGj8FWQ,1080,"10,1070,19,1901"
"Salafi Recordings",UCiW4ADFCyUeWZLJnh8D797Q,1080,"215,970,19,1901"
"SalafiDawahNZ",UCbMsXZHUqqnJNIHPzeRlI0A,1080,"10,1070,19,1901"
"SalafiDawahReading",UCgoq8CxsCJQlF7maSMj2KYQ,1080,"10,1070,19,1901"
"SalafiDawaLancs",UCphyZ_kDvcrSb4qkgQmjOHw,1080,"160,1070,19,1901"
"Salafiyyah",UCJra3bpYnIWBaB72X_RfWYg,1080,"120,1070,19,1901"
"SunnahPublishing",UCldQyYdE5AwyhIv10n1Vd8g,1080,"10,1070,19,1901"
"Sunni Dawah",UCbItTdeRSzCEY35okTN2f5g,1080,"10,1070,19,1901"
"Tawheed Rochdale",UCwZBmlpKvi3vWcuYE6eU0sg,1080,"10,1070,19,1901"
"The Manhaj of The Salaf",UCdLPjBfN8x9h_1ivPvLaZQA,1080,"10,830,19,1901"
"thesalafi",UChGcRyQV08muBq-XL2iDoFw,1080,"10,1070,19,1901"
"Thorn in the Throats",UChrCClIzv_Fye1Lvi9wsSWQ,1080,"10,1070,19,1901"
"TROID",UCMa9v8bwRI7ogkQsgMVJJjg,1080,"10,1070,19,1901"
"WestLondonDawah",UCAM-qPhgahdAQw0Yyi5jWGw,1080,"10,1070,19,1901"
"www.salafi.tv",UCVWj8j4YvN8bnAurdiTI2Qg,1080,"10,1070,19,1901"
"الدعوة السلفية • Ad-Daʼwatus Salafīyyah",UC52xDzLyRANzaatuPIqImKg,1080,"10,1070,19,1901"
"ردود على المصعفقة",UC-G2N9noTlT5zInMVJRBtTw,1080,"10,1070,19,1901"
"من هم الصعافقة ؟!",UCrOclQgXMablJeYwAQbxhFQ,1080,"10,1070,19,1901"
